"Gene.name"	"Mouse.gene.name"
"RASSF2"	"Rassf2"
"MFSD1"	"Mfsd1"
"PRMT3"	"Prmt3"
"LEMD2"	"Lemd2"
"ADD3"	"Add3"
"UVSSA"	"Uvssa"
"BLCAP"	"Blcap"
"CIPC"	"Cipc"
"MPP6"	"Mpp6"
"SHARPIN"	"Sharpin"
"RNASEH2B"	"Rnaseh2b"
"PLEKHO1"	"Plekho1"
"ARHGAP10"	"Arhgap10"
"CDK1"	"Cdk1"
"MAF1"	"Maf1"
"TERF1"	"Terf1"
"TIMM22"	"Timm22"
"RIN2"	"Rin2"
"TEF"	"Tef"
"FAM53A"	"Fam53a"
"REST"	"Rest"
"SLC23A2"	"Slc23a2"
"GLYR1"	"Glyr1"
"TNFRSF1A"	"Tnfrsf1a"
"KATNBL1"	"Katnbl1"
"MAPK3"	"Mapk3"
"PRR14L"	"Prr14l"
"AC006254.1"	"Mustn1"
"MUSTN1"	"Mustn1"
"CLPB"	"Clpb"
"ZC3H12C"	"Zc3h12c"
"CD3E"	"Cd3e"
"AVPI1"	"Avpi1"
"CNOT2"	"Cnot2"
"MPLKIP"	"Mplkip"
"SFRP1"	"Sfrp1"
"ANKRD16"	"Ankrd16"
"PPP1R8"	"Ppp1r8"
"UBA1"	"Uba1"
"FTH1"	"Fth1"
"ANAPC4"	"Anapc4"
"SUV39H1"	"Suv39h1"
"STK35"	"Stk35"
"EMC4"	"Emc4"
"MMP8"	"Mmp8"
"MRPL37"	"Mrpl37"
"ZNF236"	"Zfp236"
"ZFYVE27"	"Zfyve27"
"NAA20"	"Naa20"
"TSPAN14"	"Tspan14"
"MTERF3"	"Mterf3"
"ADAM15"	"Adam15"
"ACADVL"	"Acadvl"
"ZDHHC21"	"Zdhhc21"
"AP000295.1"	"Ifnar2"
"VPREB3"	"Vpreb3"
"IFNAR2"	"Ifnar2"
"GPR65"	"Gpr65"
"NOM1"	"Nom1"
"MRPL40"	"Mrpl40"
"MS4A6A"	"Ms4a6c"
"TTC17"	"Ttc17"
"ITCH"	"Itch"
"GOLGA7"	"Golga7"
"ARL4A"	"Arl4a"
"B3GLCT"	"B3glct"
"UFSP2"	"Ufsp2"
"RHOG"	"Rhog"
"CCDC77"	"Ccdc77"
"IMMP2L"	"Immp2l"
"PSMB9"	"Psmb9"
"MRPS28"	"Mrps28"
"SCRIB"	"Scrib"
"TWIST1"	"Twist1"
"HK1"	"Hk1"
"TLN1"	"Tln1"
"TAP1"	"Tap1"
"DDX19B"	"Ddx19a"
"HSPA14"	"Hspa14"
"THEMIS2"	"Themis2"
"MIS12"	"Mis12"
"MAT2A"	"Mat2a"
"DERL2"	"Derl2"
"DAAM1"	"Daam1"
"STT3A"	"Stt3a"
"TWISTNB"	"Twistnb"
"PIGP"	"Pigp"
"TXNL1"	"Txnl1"
"C16orf87"	"4921524J17Rik"
"PKP3"	"Pkp3"
"POLR2D"	"Polr2d"
"ABCA1"	"Abca1"
"TMEM230"	"Tmem230"
"PRKCB"	"Prkcb"
"INHBA"	"Inhba"
"PAFAH1B2"	"Pafah1b2"
"PHF5A"	"Phf5a"
"SLC7A6OS"	"Slc7a6os"
"IL1B"	"Il1b"
"MAD2L1"	"Mad2l1"
"C1orf50"	"AU022252"
"SNX20"	"Snx20"
"ZNF746"	"Zfp746"
"DHX16"	"Dhx16"
"DDX19A"	"Ddx19a"
"RBM26"	"Rbm26"
"C16orf54"	"AI467606"
"TUBB6"	"Tubb6"
"HACD2"	"Hacd2"
"CCND1"	"Ccnd1"
"HTRA3"	"Htra3"
"ENTPD1"	"Entpd1"
"FAM210A"	"Fam210a"
"AC012184.2"	"Ddx19a"
"MBP"	"Mbp"
"FANCM"	"Fancm"
"IP6K1"	"Ip6k1"
"ACO2"	"Aco2"
"BMI1"	"Bmi1"
"PSMA2"	"Psma2"
"RNF168"	"Rnf168"
"CORO1C"	"Coro1c"
"OLA1"	"Ola1"
"TRAFD1"	"Trafd1"
"AC010132.3"	"Psma2"
"TUBGCP5"	"Tubgcp5"
"COMMD3-BMI1"	"Bmi1"
"EMB"	"Emb"
"IL36G"	"Il1f9"
"TAF4B"	"Taf4b"
"COMMD3"	"Commd3"
"MYC"	"Myc"
"INCENP"	"Incenp"
"POLA1"	"Pola1"
"FBN1"	"Fbn1"
"MMP14"	"Mmp14"
"COX19"	"Cox19"
"RAB33B"	"Rab33b"
"TMX1"	"Tmx1"
"EAF2"	"Eaf2"
"TBC1D4"	"Tbc1d4"
"SFMBT1"	"Sfmbt1"
"TSTD2"	"Tstd2"
"PDCD7"	"Pdcd7"
"GSTM1"	"Gstm1"
"OR8J3"	"Olfr1062"
"LRP10"	"Lrp10"
"HSPA13"	"Hspa13"
"ACTR10"	"Actr10"
"F13A1"	"F13a1"
"ATG2A"	"Atg2a"
"PTDSS1"	"Ptdss1"
"UBA7"	"Uba7"
"MOB1B"	"Mob1b"
"ARL6IP4"	"Arl6ip4"
"KLF9"	"Klf9"
"MAD2L2"	"Mad2l2"
"MMP3"	"Mmp3"
"BBX"	"Bbx"
"TGFBR3"	"Tgfbr3"
"CLIC1"	"Clic1"
"FRMD6"	"Frmd6"
"SFN"	"Sfn"
"ABT1"	"Abt1"
"AC055839.2"	"6330403K07Rik"
"TUBGCP3"	"Tubgcp3"
"CDS2"	"Cds2"
"SERPINF1"	"Serpinf1"
"MAPK8IP3"	"Mapk8ip3"
"DDAH2"	"Ddah2"
"LETM1"	"Letm1"
"JKAMP"	"Jkamp"
"ATP6AP2"	"Atp6ap2"
"MS4A6E"	"Ms4a6c"
"METTL5"	"Mettl5"
"RDH10"	"Rdh10"
"TMEM120A"	"Tmem120a"
"XPO7"	"Xpo7"
"PRMT5"	"Prmt5"
"WDR70"	"Wdr70"
"FDX1"	"Fdx1"
"SELENOI"	"Selenoi"
"POLR2A"	"Polr2a"
"NCK1"	"Nck1"
"AKAP10"	"Akap10"
"PTBP2"	"Ptbp2"
"FUS"	"Fus"
"MBD6"	"Mbd6"
"SMIM20"	"Smim20"
"SDC2"	"Sdc2"
"CTHRC1"	"Cthrc1"
"TGM2"	"Tgm2"
"TMEM170B"	"Tmem170b"
"ZMIZ1"	"Zmiz1"
"SCGB1A1"	"Scgb1a1"
"RPRD1B"	"Rprd1b"
"CAMK2G"	"Camk2g"
"TNKS"	"Tnks"
"LY86"	"Ly86"
"CPQ"	"Cpq"
"TOLLIP"	"Tollip"
"ALG5"	"Alg5"
"UBE4A"	"Ube4a"
"PIGY"	"Pigyl"
"DAP3"	"Dap3"
"ARCN1"	"Arcn1"
"ST6GALNAC4"	"St6galnac4"
"MRGPRX1"	"Mrgpra2b"
"RAD21"	"Rad21"
"GMCL1"	"Gmcl1"
"RC3H2"	"Rc3h2"
"MMP12"	"Mmp12"
"MRGPRX2"	"Mrgpra2b"
"NUP214"	"Nup214"
"DCAF13"	"Dcaf13"
"ERGIC2"	"Ergic2"
"MKRN2"	"Mkrn2"
"PPFIA1"	"Ppfia1"
"EPCAM"	"Epcam"
"GPATCH4"	"Gpatch4"
"AL162417.1"	"Ralgds"
"ATP1A1"	"Atp1a1"
"BOD1L2"	"Bod1"
"NAGA"	"Naga"
"COL5A2"	"Col5a2"
"RALGDS"	"Ralgds"
"PSD4"	"Psd4"
"DNAJB6"	"Dnajb6"
"PGM1"	"Pgm1"
"NRP1"	"Nrp1"
"RSL24D1"	"Rsl24d1"
"BAZ2A"	"Baz2a"
"CEP290"	"Cep290"
"ITGB3BP"	"Itgb3bp"
"RUNX3"	"Runx3"
"PMM1"	"Pmm1"
"MMP13"	"Mmp13"
"TMEM167B"	"Tmem167b"
"HIVEP1"	"Hivep1"
"ZDHHC13"	"Zdhhc13"
"JMJD1C"	"Jmjd1c"
"SPPL3"	"Sppl3"
"MVP"	"Mvp"
"COG3"	"Cog3"
"AL359922.1"	"Mtap"
"NUBP2"	"Nubp2"
"MTAP"	"Mtap"
"CYHR1"	"Cyhr1"
"REEP3"	"Reep3"
"RNF181"	"Rnf181"
"ASPRV1"	"Asprv1"
"NRIP1"	"Nrip1"
"ZNF263"	"Zfp263"
"SPSB3"	"Spsb3"
"PLAU"	"Plau"
"MRPS34"	"Mrps34"
"PTTG2"	"Pttg1"
"DNAJC1"	"Dnajc1"
"TAGLN"	"Tagln"
"ITFG1"	"Itfg1"
"DCUN1D5"	"Dcun1d5"
"RAB8B"	"Rab8b"
"ACOX3"	"Acox3"
"UCHL3"	"Uchl3"
"KRT5"	"Krt5"
"SNX7"	"Snx7"
"THBS4"	"Thbs4"
"SKIV2L"	"Skiv2l"
"CLASP1"	"Clasp1"
"CCPG1"	"Ccpg1"
"KAT2B"	"Kat2b"
"UMPS"	"Umps"
"FECH"	"Fech"
"FOXJ2"	"Foxj2"
"ADRM1"	"Adrm1"
"AMN1"	"Amn1"
"CD27"	"Cd27"
"RAB27A"	"Rab27a"
"PSMD10"	"Psmd10"
"CCNT2"	"Ccnt2"
"LRRFIP2"	"Lrrfip2"
"PMM2"	"Pmm2"
"ATL3"	"Atl3"
"MTA2"	"Mta2"
"CD47"	"Cd47"
"CARHSP1"	"Carhsp1"
"HSF1"	"Hsf1"
"STRBP"	"Strbp"
"IFRD1"	"Ifrd1"
"AGTRAP"	"Agtrap"
"PRKACB"	"Prkacb"
"NCBP2"	"Ncbp2"
"DSC3"	"Dsc3"
"UBC"	"Ubc"
"SAR1A"	"Sar1a"
"PRDX3"	"Prdx3"
"CLEC2D"	"Clec2i"
"CLEC2D"	"Clec2d"
"SNAPC3"	"Snapc3"
"STMN1"	"Stmn1"
"GAS1"	"Gas1"
"UGP2"	"Ugp2"
"MAP1LC3A"	"Map1lc3a"
"GOLGA8S"	"Golga2"
"CKAP4"	"Ckap4"
"IFT27"	"Ift27"
"CTSG"	"Ctsg"
"UGDH"	"Ugdh"
"DPH5"	"Dph5"
"ELN"	"Eln"
"TET3"	"Tet3"
"FRRS1"	"Frrs1"
"ZFAND2A"	"Zfand2a"
"SGMS2"	"Sgms2"
"HAGH"	"Hagh"
"TBL1X"	"Tbl1x"
"EIF2B3"	"Eif2b3"
"DHRS3"	"Dhrs3"
"WDR75"	"Wdr75"
"PTPN11"	"Ptpn11"
"TIMP3"	"Timp3"
"BMP1"	"Bmp1"
"SERINC5"	"Serinc5"
"PHPT1"	"Phpt1"
"HINT2"	"Hint2"
"RBM15"	"Rbm15"
"PKP4"	"Pkp4"
"DIABLO"	"Diablo"
"ARID4A"	"Arid4a"
"APLP2"	"Aplp2"
"LPAR1"	"Lpar1"
"BLVRA"	"Blvra"
"AC048338.2"	"Diablo"
"FASTK"	"Fastk"
"SNX27"	"Snx27"
"RIC8B"	"Ric8b"
"CRCP"	"Crcp"
"RAB34"	"Rab34"
"ECM2"	"Ecm2"
"PARP2"	"Parp2"
"DNAJC8"	"Dnajc8"
"POLR3B"	"Polr3b"
"RSC1A1"	"Ddi2"
"FKBP4"	"Fkbp4"
"AC117378.1"	"Prim1"
"EID1"	"Eid1"
"OGN"	"Ogn"
"CMTM3"	"Cmtm3"
"BRD9"	"Brd9"
"PRIM1"	"Prim1"
"CENPP"	"Cenpp"
"YIF1A"	"Yif1a"
"KIF13B"	"Kif13b"
"FAM114A1"	"Fam114a1"
"FXR2"	"Fxr2"
"CSTA"	"Stfa2l1"
"TSN"	"Tsn"
"ACOT7"	"Acot7"
"NUDT21"	"Nudt21"
"RTP4"	"Rtp4"
"SLC40A1"	"Slc40a1"
"MAP1B"	"Map1b"
"MED14"	"Med14"
"YWHAE"	"Ywhae"
"MATN2"	"Matn2"
"RTN3"	"Rtn3"
"SLC4A2"	"Slc4a2"
"HTRA2"	"Htra2"
"BCL2L13"	"Bcl2l13"
"RGS10"	"Rgs10"
"USP25"	"Usp25"
"SETD7"	"Setd7"
"CTCF"	"Ctcf"
"FLOT1"	"Flot1"
"NECAP1"	"Necap1"
"FLNB"	"Flnb"
"LIPG"	"Lipg"
"PANX1"	"Panx1"
"BTBD10"	"Btbd10"
"SSR1"	"Ssr1"
"HLA-DOA"	"H2-Oa"
"UROD"	"Urod"
"ASNSD1"	"Asnsd1"
"AC012488.2"	"Asnsd1"
"ATF2"	"Atf2"
"MGST2"	"Mgst2"
"VAMP2"	"Vamp2"
"GOLGA8F"	"Golga2"
"NUP160"	"Nup160"
"PER1"	"Per1"
"MRPL47"	"Mrpl47"
"LBP"	"Lbp"
"ERC1"	"Erc1"
"AC129492.3"	"Vamp2"
"SLC15A3"	"Slc15a3"
"PPP2R2D"	"Ppp2r2d"
