disease	IngenuityCanonicalPathways	pvalue
AD_inflamed	Cardiolipin Biosynthesis II	0.426579518801593
AD_inflamed	Cardiomyocyte Differentiation via BMP Receptors	0.107051140388138
AD_inflamed	Caveolar-mediated Endocytosis Signaling	0.162042353253215
AD_inflamed	Cell Cycle Control of Chromosomal Replication	0.000119937300823381
AD_inflamed	Cell Cycle Regulation by BTG Family Proteins	8.01355741690823e-05
AD_inflamed	Cell Cycle: G1/S Checkpoint Regulation	4.05298285818256e-05
AD_inflamed	Cell Cycle: G2/M DNA Damage Checkpoint Regulation	5.38685139905848e-06
AD_inflamed	Cellular Effects of Sildenafil (Viagra)	0.470921355165298
AD_inflamed	Ceramide Biosynthesis	0.205030506696226
AD_inflamed	Ceramide Degradation	0.134925392111462
AD_inflamed	Ceramide Signaling	0.000747288323493356
AD_inflamed	Chemokine Signaling	0.108031205291436
AD_inflamed	Cholecystokinin/Gastrin-mediated Signaling	0.000462113164256817
AD_inflamed	Cholesterol Biosynthesis I	0.0213658111606979
AD_inflamed	Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	0.0213658111606979
AD_inflamed	Cholesterol Biosynthesis III (via Desmosterol)	0.0213658111606979
AD_inflamed	Choline Biosynthesis III	0.00633498348863037
AD_inflamed	Choline Degradation I	0.204677858879761
AD_inflamed	Chondroitin Sulfate Biosynthesis	1
AD_inflamed	Chondroitin Sulfate Biosynthesis (Late Stages)	1
AD_inflamed	Chondroitin Sulfate Degradation (Metazoa)	0.089935258941212
AD_inflamed	Chondroitin and Dermatan Biosynthesis	0.215493870006302
AD_inflamed	Chronic Myeloid Leukemia Signaling	1.28184346470661e-08
AD_inflamed	Circadian Rhythm Signaling	1
AD_inflamed	Citrulline Biosynthesis	0.427344462441558
AD_inflamed	Citrulline-Nitric Oxide Cycle	1
AD_inflamed	Clathrin-mediated Endocytosis Signaling	1.47070495937207e-06
AD_inflamed	Cleavage and Polyadenylation of Pre-mRNA	0.6962681555951
AD_inflamed	Coagulation System	0.224506025518196
AD_inflamed	Coenzyme A Biosynthesis	0.0756941621759608
AD_inflamed	Colanic Acid Building Blocks Biosynthesis	0.220335185414659
AD_inflamed	Colorectal Cancer Metastasis Signaling	2.19958362634998e-09
AD_inflamed	Communication between Innate and Adaptive Immune Cells	1
AD_inflamed	Complement System	0.727538269772536
AD_inflamed	Coronavirus Pathogenesis Pathway	3.58983731629792e-10
AD_inflamed	Coronavirus Replication Pathway	0.145956834602787
AD_inflamed	Corticotropin Releasing Hormone Signaling	0.785818534389469
AD_inflamed	Creatine-phosphate Biosynthesis	1
AD_inflamed	Crosstalk between Dendritic Cells and Natural Killer Cells	1
AD_inflamed	Cyclins and Cell Cycle Regulation	8.54590338716932e-07
AD_inflamed	Cysteine Biosynthesis III (mammalia)	0.181610168670558
AD_inflamed	Cysteine Biosynthesis/Homocysteine Degradation	0.575439937337157
AD_inflamed	Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	1
AD_inflamed	D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	0.0329907644427589
AD_inflamed	D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	0.0159305472252883
AD_inflamed	D-myo-inositol (1,4,5)-trisphosphate Degradation	0.0759766783425835
AD_inflamed	D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	0.000262087546713974
AD_inflamed	D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	0.000262087546713974
AD_inflamed	D-myo-inositol-5-phosphate Metabolism	6.40137763130433e-06
AD_inflamed	DNA Double-Strand Break Repair by Homologous Recombination	0.0429411740701965
AD_inflamed	DNA Double-Strand Break Repair by Non-Homologous End Joining	0.0346233677552157
AD_inflamed	DNA Methylation and Transcriptional Repression Signaling	0.809152621878477
AD_inflamed	DNA damage-induced 14-3-3σ Signaling	9.86144288450674e-08
AD_inflamed	Death Receptor Signaling	6.09250427885399e-11
AD_inflamed	Dendritic Cell Maturation	1
AD_inflamed	Dermatan Sulfate Biosynthesis	1
AD_inflamed	Dermatan Sulfate Biosynthesis (Late Stages)	1
AD_inflamed	Dermatan Sulfate Degradation (Metazoa)	0.142106587591637
AD_inflamed	Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1
AD_inflamed	Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1
AD_inflamed	Dilated Cardiomyopathy Signaling Pathway	0.137855545161261
AD_inflamed	Diphthamide Biosynthesis	1
AD_inflamed	Docosahexaenoic Acid (DHA) Signaling	0.000154629615551016
AD_inflamed	Dolichol and Dolichyl Phosphate Biosynthesis	0.575439937337157
AD_inflamed	Dolichyl-diphosphooligosaccharide Biosynthesis	0.549721745520451
AD_inflamed	Dopamine Degradation	0.409500333228648
AD_inflamed	Dopamine Receptor Signaling	0.369662473840703
AD_inflamed	Dopamine-DARPP32 Feedback in cAMP Signaling	0.0146881686501478
AD_inflamed	EGF Signaling	0.000382641639353976
AD_inflamed	EIF2 Signaling	1.69026903584779e-10
AD_inflamed	ERB2-ERBB3 Signaling	0.000581714901188635
AD_inflamed	ERBB Signaling	0.00125641786687103
AD_inflamed	ERBB4 Signaling	0.00413755732424903
AD_inflamed	ERK/MAPK Signaling	4.15736733150318e-06
AD_inflamed	ERK5 Signaling	1.45007700832478e-05
AD_inflamed	Eicosanoid Signaling	0.335058231941771
AD_inflamed	Embryonic Stem Cell Differentiation into Cardiac Lineages	0.832109489530517
AD_inflamed	Endocannabinoid Cancer Inhibition Pathway	8.84343632823192e-06
AD_inflamed	Endocannabinoid Developing Neuron Pathway	0.000581714901188635
AD_inflamed	Endocannabinoid Neuronal Synapse Pathway	0.103591042827482
AD_inflamed	Endometrial Cancer Signaling	0.0053122335262128
AD_inflamed	Endoplasmic Reticulum Stress Pathway	0.205383692703805
AD_inflamed	Endothelin-1 Signaling	0.000535041324932206
AD_inflamed	Ephrin A Signaling	0.0013934615934762
AD_inflamed	Ephrin B Signaling	1.51370459391398e-05
AD_inflamed	Ephrin Receptor Signaling	2.17232658528133e-08
AD_inflamed	Epithelial Adherens Junction Signaling	7.43964889693416e-11
AD_inflamed	Epoxysqualene Biosynthesis	0.204677858879761
AD_inflamed	Erythropoietin Signaling Pathway	0.0138394211269159
AD_inflamed	Estrogen Biosynthesis	1
AD_inflamed	Estrogen Receptor Signaling	6.10585804139419e-10
AD_inflamed	Estrogen-Dependent Breast Cancer Signaling	0.0491731048152485
AD_inflamed	Estrogen-mediated S-phase Entry	0.00405414502073242
AD_inflamed	Ethanol Degradation II	0.0264410933812572
AD_inflamed	Ethanol Degradation IV	0.00238180082776374
AD_inflamed	Eumelanin Biosynthesis	0.649481238454169
AD_inflamed	Extrinsic Prothrombin Activation Pathway	0.477889088373134
AD_inflamed	FAK Signaling	1.5801087648426e-05
AD_inflamed	FAT10 Cancer Signaling Pathway	6.54088609874925e-06
AD_inflamed	FAT10 Signaling Pathway	0.193338429296806
AD_inflamed	FGF Signaling	0.0622990346199971
AD_inflamed	FLT3 Signaling in Hematopoietic Progenitor Cells	4.53250436627251e-06
AD_inflamed	FXR/RXR Activation	1
AD_inflamed	Factors Promoting Cardiogenesis in Vertebrates	0.000216803770339391
AD_inflamed	Fatty Acid Activation	0.487050354719166
AD_inflamed	Fatty Acid α-oxidation	0.0113415533101473
AD_inflamed	Fatty Acid β-oxidation I	0.330258509299405
AD_inflamed	Fatty Acid β-oxidation III (Unsaturated, Odd Number)	0.889022263422183
AD_inflamed	Fc Epsilon RI Signaling	0.0293126477571084
AD_inflamed	Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	0.000795493796953317
AD_inflamed	FcγRIIB Signaling in B Lymphocytes	0.241479605460913
AD_inflamed	Ferroptosis Signaling Pathway	5.83041767088233e-08
AD_inflamed	Flavin Biosynthesis IV (Mammalian)	0.590253637139155
AD_inflamed	Folate Polyglutamylation	0.889022263422183
AD_inflamed	Folate Transformations I	0.0980550646217111
AD_inflamed	Formaldehyde Oxidation II (Glutathione-dependent)	0.0423694905127419
AD_inflamed	G Beta Gamma Signaling	0.00294804684303396
AD_inflamed	G Protein Signaling Mediated by Tubby	7.94076627275153e-06
AD_inflamed	G-Protein Coupled Receptor Signaling	0.0771167284186718
AD_inflamed	GABA Receptor Signaling	0.38081154349767
AD_inflamed	GADD45 Signaling	0.00646425412660756
AD_inflamed	GDNF Family Ligand-Receptor Interactions	0.00729595783193959
AD_inflamed	GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	0.590253637139155
AD_inflamed	GDP-L-fucose Biosynthesis II (from L-fucose)	0.575439937337157
AD_inflamed	GDP-glucose Biosynthesis	0.752097233298997
AD_inflamed	GDP-mannose Biosynthesis	0.451110023481126
AD_inflamed	GM-CSF Signaling	0.00189940289882917
AD_inflamed	GNRH Signaling	0.000366910132547416
AD_inflamed	GP6 Signaling Pathway	0.00561094427641584
AD_inflamed	GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0.304604111861065
AD_inflamed	GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0.41517465676981
AD_inflamed	Galactose Degradation I (Leloir Pathway)	0.286700848780056
AD_inflamed	Gap Junction Signaling	0.000481881657027006
AD_inflamed	Geranylgeranyldiphosphate Biosynthesis	0.567544605408547
AD_inflamed	Germ Cell-Sertoli Cell Junction Signaling	0.000471894926983629
AD_inflamed	Glioblastoma Multiforme Signaling	5.19473353222111e-13
AD_inflamed	Glioma Invasiveness Signaling	6.68342055176741e-06
AD_inflamed	Glioma Signaling	4.07750675557317e-07
AD_inflamed	Glucocorticoid Biosynthesis	0.752097233298997
AD_inflamed	Glucocorticoid Receptor Signaling	2.87874965809731e-06
AD_inflamed	Gluconeogenesis I	0.862383747936624
AD_inflamed	Glucose and Glucose-1-phosphate Degradation	0.587874339736696
AD_inflamed	Glutamate Biosynthesis II	0.0588843655355589
AD_inflamed	Glutamate Degradation II	0.889022263422183
AD_inflamed	Glutamate Degradation III (via 4-aminobutyrate)	0.0315544761541016
AD_inflamed	Glutamate Degradation X	0.0588843655355589
AD_inflamed	Glutamate Dependent Acid Resistance	0.575439937337157
AD_inflamed	Glutamate Receptor Signaling	0.768996679098826
AD_inflamed	Glutamine Degradation I	0.204677858879761
AD_inflamed	Glutaryl-CoA Degradation	0.319792331236408
AD_inflamed	Glutathione Biosynthesis	0.450437434362007
AD_inflamed	Glutathione Redox Reactions I	0.409500333228648
AD_inflamed	Glutathione Redox Reactions II	0.290018718015487
AD_inflamed	Glutathione-mediated Detoxification	0.274655730953817
AD_inflamed	Glycerol Degradation I	0.0524807460249772
AD_inflamed	Glycerol-3-phosphate Shuttle	0.121059813355048
AD_inflamed	Glycine Betaine Degradation	1
AD_inflamed	Glycine Biosynthesis I	0.590253637139155
AD_inflamed	Glycine Cleavage Complex	1
AD_inflamed	Glycine Degradation (Creatine Biosynthesis)	0.204677858879761
AD_inflamed	Glycoaminoglycan-protein Linkage Region Biosynthesis	0.184802369103958
AD_inflamed	Glycogen Biosynthesis II (from UDP-D-Glucose)	0.342636268862282
AD_inflamed	Glycogen Degradation II	0.424760913049372
AD_inflamed	Glycogen Degradation III	0.63384059089853
AD_inflamed	Glycolysis I	0.0933103102329487
AD_inflamed	Graft-versus-Host Disease Signaling	1
AD_inflamed	Granulocyte Adhesion and Diapedesis	0.441095613987131
AD_inflamed	Granzyme A Signaling	1
AD_inflamed	Granzyme B Signaling	0.000882759631670171
AD_inflamed	Growth Hormone Signaling	0.000462113164256817
AD_inflamed	Guanine and Guanosine Salvage I	0.432545884683089
AD_inflamed	Guanosine Nucleotides Degradation III	0.503540812205502
AD_inflamed	Gustation Pathway	1
AD_inflamed	Gα12/13 Signaling	0.0111174457673857
AD_inflamed	Gαi Signaling	0.378442973193012
AD_inflamed	Gαq Signaling	5.45943161789353e-08
AD_inflamed	Gαs Signaling	0.324991079682051
AD_inflamed	HER-2 Signaling in Breast Cancer	3.30724336805588e-12
AD_inflamed	HGF Signaling	8.91170932234564e-05
AD_inflamed	HIF1α Signaling	0.000337344182101407
AD_inflamed	HIPPO signaling	6.64950904338824e-08
AD_inflamed	HMGB1 Signaling	0.0297714505693506
AD_inflamed	HOTAIR Regulatory Pathway	2.32437299121369e-05
AD_inflamed	Hematopoiesis from Multipotent Stem Cells	1
AD_inflamed	Hematopoiesis from Pluripotent Stem Cells	1
AD_inflamed	Heme Biosynthesis II	0.440433668143343
AD_inflamed	Heme Biosynthesis from Uroporphyrinogen-III I	0.938890670647289
AD_inflamed	Heme Degradation	0.19001450931377
AD_inflamed	Heparan Sulfate Biosynthesis	1
AD_inflamed	Heparan Sulfate Biosynthesis (Late Stages)	1
AD_inflamed	Hepatic Cholestasis	0.545907614299879
AD_inflamed	Hepatic Fibrosis / Hepatic Stellate Cell Activation	0.000502487070951907
AD_inflamed	Hepatic Fibrosis Signaling Pathway	1.54498536186765e-09
AD_inflamed	Hereditary Breast Cancer Signaling	2.81374146204882e-10
AD_inflamed	Histamine Biosynthesis	0.348337315036012
AD_inflamed	Histamine Degradation	0.00686777855785647
AD_inflamed	Histidine Degradation III	0.889022263422183
AD_inflamed	Histidine Degradation VI	1
AD_inflamed	Human Embryonic Stem Cell Pluripotency	1.31647668302204e-05
AD_inflamed	Huntington's Disease Signaling	1.5801087648426e-05
AD_inflamed	Hypoxia Signaling in the Cardiovascular System	3.35117367855631e-07
AD_inflamed	Hypusine Biosynthesis	0.0262869570106642
AD_inflamed	ICOS-ICOSL Signaling in T Helper Cells	1
AD_inflamed	IGF-1 Signaling	7.1298396127073e-06
AD_inflamed	IL-1 Signaling	0.00118067328264293
AD_inflamed	IL-10 Signaling	0.000864580776085533
AD_inflamed	IL-12 Signaling and Production in Macrophages	0.0209506226041056
AD_inflamed	IL-15 Production	5.04914647614374e-06
AD_inflamed	IL-15 Signaling	1
AD_inflamed	IL-17 Signaling	1
AD_inflamed	IL-17A Signaling in Airway Cells	0.000645757630673427
AD_inflamed	IL-17A Signaling in Fibroblasts	0.000240907193605366
AD_inflamed	IL-17A Signaling in Gastric Cells	0.623223918094303
AD_inflamed	IL-2 Signaling	0.000581714901188635
AD_inflamed	IL-22 Signaling	0.0755532763670589
AD_inflamed	IL-23 Signaling Pathway	0.0127817594494734
AD_inflamed	IL-3 Signaling	0.000731870964183812
AD_inflamed	IL-4 Signaling	0.00856969186987078
AD_inflamed	IL-6 Signaling	3.4901347045424e-05
AD_inflamed	IL-7 Signaling Pathway	2.58703931046433e-05
AD_inflamed	IL-8 Signaling	4.34090304168855e-06
AD_inflamed	IL-9 Signaling	0.00269390078385146
AD_inflamed	ILK Signaling	4.22976271916564e-05
AD_inflamed	Induction of Apoptosis by HIV1	4.10549845231145e-08
AD_inflamed	Inflammasome pathway	0.0927965949979594
AD_inflamed	Inhibition of ARE-Mediated mRNA Degradation Pathway	0.0030213634291707
AD_inflamed	Inhibition of Angiogenesis by TSP1	0.0430234444922375
AD_inflamed	Inhibition of Matrix Metalloproteases	0.00806838836975565
AD_inflamed	Inosine-5'-phosphate Biosynthesis II	0.567544605408547
AD_inflamed	Inositol Pyrophosphates Biosynthesis	0.819866993308402
AD_inflamed	Insulin Receptor Signaling	2.31845665643604e-06
AD_inflamed	Insulin Secretion Signaling Pathway	0.000246037564793911
AD_inflamed	Integrin Signaling	8.6478918359667e-08
AD_inflamed	Interferon Signaling	6.09250427885399e-11
AD_inflamed	Intrinsic Prothrombin Activation Pathway	0.819046023196955
AD_inflamed	Iron homeostasis signaling pathway	3.89645149290185e-06
AD_inflamed	Isoleucine Degradation I	0.891972638736168
AD_inflamed	JAK/STAT Signaling	5.18146101913253e-07
AD_inflamed	Ketogenesis	0.657767086021939
AD_inflamed	Ketolysis	0.302131682426078
AD_inflamed	Kinetochore Metaphase Signaling Pathway	7.76267938817909e-13
AD_inflamed	L-carnitine Biosynthesis	0.889022263422183
AD_inflamed	L-cysteine Degradation I	0.649481238454169
AD_inflamed	L-cysteine Degradation III	0.590253637139155
AD_inflamed	L-glutamine Biosynthesis II (tRNA-dependent)	0.0423694905127419
AD_inflamed	LPS-stimulated MAPK Signaling	0.00467462954853937
AD_inflamed	LPS/IL-1 Mediated Inhibition of RXR Function	0.253545876390302
AD_inflamed	LXR/RXR Activation	0.802517950355082
AD_inflamed	Lactose Degradation III	0.889022263422183
AD_inflamed	Lanosterol Biosynthesis	0.348337315036012
AD_inflamed	Leptin Signaling in Obesity	0.000112547656156647
AD_inflamed	Leucine Degradation I	0.384591782045354
AD_inflamed	Leukocyte Extravasation Signaling	1.3891105869912e-05
AD_inflamed	Leukotriene Biosynthesis	1
AD_inflamed	Lipid Antigen Presentation by CD1	1
AD_inflamed	Lipoate Biosynthesis and Incorporation II	0.426579518801593
AD_inflamed	Lipoate Salvage and Modification	0.243220400907382
AD_inflamed	Lymphotoxin β Receptor Signaling	0.000125129254649692
AD_inflamed	Lysine Degradation II	0.570575361847548
AD_inflamed	Lysine Degradation V	0.207157716861866
AD_inflamed	MIF Regulation of Innate Immunity	0.857685955133633
AD_inflamed	MIF-mediated Glucocorticoid Regulation	0.375498321197537
AD_inflamed	MSP-RON Signaling In Cancer Cells Pathway	3.07177299130323e-06
AD_inflamed	MSP-RON Signaling In Macrophages Pathway	0.0254297979947152
AD_inflamed	MSP-RON Signaling Pathway	0.692899649992626
AD_inflamed	MYC Mediated Apoptosis Signaling	2.94145386051659e-05
AD_inflamed	Macropinocytosis Signaling	0.00258563440910331
AD_inflamed	Maturity Onset Diabetes of Young (MODY) Signaling	0.790006705960167
AD_inflamed	Mechanisms of Viral Exit from Host Cells	0.0645651018781891
AD_inflamed	Melanocyte Development and Pigmentation Signaling	0.000359286379611246
AD_inflamed	Melanoma Signaling	0.00292399939484089
AD_inflamed	Melatonin Degradation I	1
AD_inflamed	Melatonin Degradation II	0.123879658653037
AD_inflamed	Melatonin Signaling	0.00130956022005191
AD_inflamed	Methionine Degradation I (to Homocysteine)	0.144148332922218
AD_inflamed	Methionine Salvage II (Mammalian)	0.450437434362007
AD_inflamed	Methylglyoxal Degradation I	0.112239309972214
AD_inflamed	Methylglyoxal Degradation III	0.221088424101029
AD_inflamed	Methylmalonyl Pathway	0.348686446097346
AD_inflamed	Methylthiopropionate Biosynthesis	0.243220400907382
AD_inflamed	Mevalonate Pathway I	0.314152559802408
AD_inflamed	Mineralocorticoid Biosynthesis	0.889022263422183
AD_inflamed	Mismatch Repair in Eukaryotes	0.0247926334506724
AD_inflamed	Mitochondrial Dysfunction	0.309599270523981
AD_inflamed	Mitochondrial L-carnitine Shuttle Pathway	0.616727517180296
AD_inflamed	Mitotic Roles of Polo-Like Kinase	1.21204601910563e-10
AD_inflamed	Molecular Mechanisms of Cancer	0
AD_inflamed	Molybdenum Cofactor Biosynthesis	0.0356399803340428
AD_inflamed	Mouse Embryonic Stem Cell Pluripotency	1.81889007522251e-07
AD_inflamed	Myo-inositol Biosynthesis	0.889022263422183
AD_inflamed	N-acetylglucosamine Degradation I	0.889022263422183
AD_inflamed	N-acetylglucosamine Degradation II	0.596621465191819
AD_inflamed	NAD Biosynthesis III	0.596621465191819
AD_inflamed	NAD Biosynthesis from 2-amino-3-carboxymuconate Semialdehyde	0.286700848780056
AD_inflamed	NAD Phosphorylation and Dephosphorylation	0.012040662650589
AD_inflamed	NAD Salvage Pathway II	0.197736987051397
AD_inflamed	NAD Salvage Pathway III	1
AD_inflamed	NAD Signaling Pathway	0.000492077595763862
AD_inflamed	NAD biosynthesis II (from tryptophan)	0.657767086021939
AD_inflamed	NADH Repair	0.889022263422183
AD_inflamed	NER (Nucleotide Excision Repair, Enhanced Pathway)	0.0316156498684781
AD_inflamed	NF-κB Activation by Viruses	0.000297365632901392
AD_inflamed	NF-κB Signaling	1
AD_inflamed	NGF Signaling	4.55446680369676e-09
AD_inflamed	NRF2-mediated Oxidative Stress Response	0.000297365632901392
AD_inflamed	NUR77 Signaling in T Lymphocytes	1
AD_inflamed	Natural Killer Cell Signaling	0.000279174810890348
AD_inflamed	Necroptosis Signaling Pathway	2.04395917218214e-05
AD_inflamed	Netrin Signaling	0.27420113913049
AD_inflamed	Neuregulin Signaling	2.94170971204544e-06
AD_inflamed	Neuroinflammation Signaling Pathway	1
AD_inflamed	Neuropathic Pain Signaling In Dorsal Horn Neurons	0.0485221862065396
AD_inflamed	Neuroprotective Role of THOP1 in Alzheimer's Disease	0.730926026033142
AD_inflamed	Neurotrophin/TRK Signaling	0.00715040336713813
AD_inflamed	Nicotine Degradation II	1
AD_inflamed	Nicotine Degradation III	1
