key	IngenuityCanonicalPathways	GroupCount	AllMolecules	pathsize	M_activated_ratio	M_inhibited_ratio	M_noZ_ratio	M_notSig_ratio	J_activated_ratio	J_inhibited_ratio	J_noZ_ratio	J_notSig_ratio	M_GlobalActivated	M_GlobalInhibited	M_GlobalNoDirection	M_GlobalNotSignificant	J_GlobalActivated	J_GlobalInhibited	J_GlobalNoDirection	J_GlobalNotSignificant	activeTissue	inactiveTissue	clustersGlobal	subclusters
X108	Dopamine Receptor Signaling	2	ADCY7,COMT,PPP1R14B,PPP1R7,PPP2CB,PPP2R3A,PPP2R5D,PRKACB,PRKAG1,PRKAR2A,PTPA,Ppp1cc,QDPR,SMOX,SPR	15	0	0	0.0416666666666667	0.458333333333333	0	0	0.0833333333333333	0.416666666666667	0	0	0.5	0	0	0	0.5	0	no_direction	no_direction	2	2.11
X109	EGF Signaling	13	AKT1,AKT2,CSNK2A1,CSNK2B,EGFR,GRB2,HRAS,ITPR1,ITPR2,ITPR3,MAP2K1,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK8,MTOR,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PRKCA,RAF1,RASA1,RPS6KB1,SHC1,SOS1,SOS2,SRF,STAT1	33	0.0416666666666667	0.208333333333333	0.0416666666666667	0.208333333333333	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.2
X11	Actin Nucleation by ARP-WASP Complex	6	ARPC1A,BAIAP2,Cdc42,FNBP1,GRB2,HRAS,ITGA4,ITGA5,ITGAL,ITGAV,ITGB1,ITGB2,KRAS,NCK1,NRAS,PPP1R12C,RAC1,RAC2,RAP2A,RAP2B,RHOB,RHOC,RHOF,RHOG,RHOH,RHOQ,RHOT1,RHOV,RND1,RND3,ROCK1,RRAS,RRAS2,SOS1,SOS2,VASP,WAS	37	0.0833333333333333	0.0833333333333333	0	0.333333333333333	0.166666666666667	0	0	0.333333333333333	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.4
X110	ERK/MAPK Signaling	6	ARAF,ATF1,ATF2,BAD,BRAF,CREB1,CREBBP,CRK,DUSP4,EIF4EBP1,ELF4,ELK3,ETS2,FYN,GRB2,HRAS,HSPB1,ITGA4,ITGA5,ITGAL,ITGAV,ITGB1,ITGB2,KRAS,MAP2K1,MAP2K2,MAPK3,MYC,NRAS,PAK1,PIK3C3,PIK3CB,PIK3R5,PLA2G12A,PPP1R11,PPP1R14B,PPP1R7,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PRKACB,PRKAG1,PRKAR2A,PRKCA,PRKCB,PRKCD,PRKCE,PRKCI,PTK2B,PTPA,PXN,RAC1,RAC2,RAF1,RAP2A,RAP2B,RAPGEF1,RPS6KA5,RRAS,RRAS2,SHC1,SOS1,SOS2,SRF,STAT1,TLN1,VRK2,YWHAG,YWHAQ	71	0.0833333333333333	0.0416666666666667	0	0.375	0.25	0	0	0.25	0.5	0	0	0	0.5	0	0	0	activated	activated	1	1.1
X111	ERK5 Signaling	5	AKT1,ATF2,BAD,CREB1,CREB3,CREBBP,EGFR,ELK4,FOSL1,FOXO3,GNA13,GNAQ,HRAS,IL6ST,KRAS,MAP3K2,MAP3K3,MAP3K8,MAPK7,MEF2D,MYC,NRAS,PTPN11,RALA,RAP2A,RAP2B,RASD1,RPS6KA1,RPS6KA3,RPS6KA5,RPS6KB1,RRAS,RRAS2,SFN,SGK1,YWHAE,YWHAG,YWHAQ	38	0.0416666666666667	0.125	0	0.333333333333333	0.0833333333333333	0	0	0.416666666666667	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.1
X112	Endocannabinoid Cancer Inhibition Pathway	2	ADCY7,AKT1S1,AKT2,BAD,CASP3,CASP6,CASP8,CCND1,CCND3,CCNE1,CCNE2,CNR2,CREB3,DDIT3,GNAI3,GNAQ,LEF1,MAPK14,MAPK3,MMP2,MTOR,MYC,PIK3C3,PIK3CB,PIK3R5,PRKAA1,PRKAB1,PRKAG1,PRKAR2A,RAF1,ROCK1,SPTLC2,TCF3,TCF4,TCF7L2,TWIST1,Tcf7,VIM	38	0.0416666666666667	0.0416666666666667	0	0.416666666666667	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	not_sig	no_direction	2	2.11
X113	Endocannabinoid Developing Neuron Pathway	8	ADCY7,AKT1,AKT1S1,AKT2,ARAF,ATF2,BRAF,CCND1,CNR2,CREB1,CREBBP,GNAI3,GNB1,GNG11,GNG2,GNG5,HRAS,KRAS,MAP2K1,MAP2K2,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK6,MAPK7,MAPK8,MGLL,MTOR,NRAS,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PRKACB,PRKAG1,PRKAR2A,RAC1,RAC2,RAF1,RALA,RAP2A,RAP2B,RASD1,RRAS,RRAS2,STMN2	49	0.0833333333333333	0.166666666666667	0	0.25	0.166666666666667	0	0	0.333333333333333	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.1
X114	Endocannabinoid Neuronal Synapse Pathway	1	GNA11,GNA15,GNG11,MAPK13,MAPK14,PLCL2,PRKACB,PRKAG1,PRKAR2A,PTGS2	10	0	0.0416666666666667	0	0.458333333333333	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	not_sig	inhibited	2	2.17
X115	Endometrial Cancer Signaling	6	AKT1,AKT2,BAD,CCND1,CTNNA1,FOXO3,GRB2,HRAS,ILK,KRAS,LEF1,MAP2K1,MAP2K2,MAPK3,MYC,NRAS,PDPK1,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,RAF1,RALA,RAP2A,RAP2B,RASD1,RRAS,RRAS2,SOS1,SOS2,TP53	33	0.0833333333333333	0.0833333333333333	0	0.333333333333333	0.166666666666667	0	0	0.333333333333333	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.5
X116	Endoplasmic Reticulum Stress Pathway	3	ATF6,DNAJC3,EIF2S1,MAP3K5,MAPK8,MBTPS1,TAOK3,TRAF2,XBP1	9	0.0833333333333333	0	0	0.416666666666667	0.0833333333333333	0	0	0.416666666666667	0.5	0	0	0	0.5	0	0	0	activated	activated	2	2.4
X117	Endothelin-1 Signaling	1	ADCY7,CASP4,CASP8,GNA11,GNA13,GNA15,GNAI3,GRB2,HRAS,ITPR1,ITPR2,KRAS,MAPK13,MAPK7,MAPK8,NRAS,PIK3C3,PIK3CB,PLA2G12A,PLA2G7,PLCL2,PLD3,PNPLA8,PRKCA,PRKCD,PRKCE,PRKCH,PRKD3,PTGS2,RAF1,RAP2A,RAP2B,RRAS,SOS1	34	0	0	0	0.5	0.0833333333333333	0	0	0.416666666666667	0	0	0	0.5	0.5	0	0	0	activated	not_sig	1	1.7
X118	Ephrin B Signaling	3	ACP1,CBL,CFL2,CXCL12,CXCR4,EFNB2,GNA11,GNA15,GNAI3,GNAQ,GNB1,GNG10,GNG11,GNG12,GNG2,GNG5,HRAS,ITSN1,MAPK3,PAK1,PXN,RAC1,RAC2,ROCK1,ROCK2,VAV1,VAV3	27	0.0833333333333333	0	0.0416666666666667	0.375	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	not_sig	activated	1	1.4
X119	Ephrin Receptor Signaling	3	ABL1,ACP1,AKT1,AKT2,ATF2,CREB1,CREBBP,CRK,EPHA2,FYN,GNA11,GNA15,GNAI3,GNAQ,GNB1,GNG10,GNG11,GNG12,GNG2,HRAS,ITGA4,ITGA5,ITGAL,ITGAV,ITGB2,ITSN1,LIMK2,MAP2K1,MAP2K2,MAPK3,NCK1,NRAS,PAK1,PDGFA,PTPN11,PXN,RAC1,RAC2,RAF1,RAP2A,RASA1,ROCK1,RRAS,SDC2,SH2D3C,SHC1,SOS1,SOS2,WAS,Wasl	50	0.0416666666666667	0.0833333333333333	0	0.375	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	not_sig	inhibited	1	1.4
X12	Activation of IRF by Cytosolic Pattern Recognition Receptors	9	ADAR,CD40,CHUK,CREBBP,DDX58,IFIH1,IFNAR1,IKBKB,IL6,IRF3,IRF7,IRF9,ISG15,MAP2K4,MAPK8,NFKB1,NFKB2,NFKBIB,NFKBID,RELA,SIKE1,STAT1,STAT2,TBK1,TNF,TRAF3,TRAF6,ZBP1	28	0.125	0	0	0.375	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0	activated	activated	2	2.3
X120	ErbB Signaling	15	AKT1,AREG,EGFR,FOXO1,GRB2,HBEGF,HRAS,KRAS,MAP2K1,MAP2K2,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK8,MTOR,NCK1,NRAS,PAK1,PAK2,PDPK1,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PLCG2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,RAF1,RALA,RAP2A,RAP2B,RASD1,RPS6KB1,RRAS,RRAS2,SHC1,SOS1,SOS2	47	0.166666666666667	0.166666666666667	0.0416666666666667	0.125	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.8
X121	ErbB2-ErbB3 Signaling	6	AKT1,BAD,CCND1,FOXO1,GRB2,GSK3A,HRAS,KRAS,MAP2K1,MAP2K2,MAPK3,MYC,NRAS,PDPK1,PIK3C3,PIK3CB,PIK3CD,PIK3R5,RAF1,RAP2A,RAP2B,RASD1,RRAS,RRAS2,SHC1,SOS1,SOS2,SP1,STAT5A,STAT5B	30	0.0833333333333333	0.0416666666666667	0	0.375	0.25	0	0	0.25	0.5	0	0	0	0.5	0	0	0	activated	activated	1	1.5
X122	ErbB4 Signaling	9	AKT1,GRB2,HRAS,KRAS,MAP2K1,MAP2K2,MAPK3,NRAS,PDPK1,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PLCG2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,PSEN1,PSEN2,RAF1,RAP2A,RAP2B,RASD1,RRAS,RRAS2,SHC1,SOS1,SOS2	32	0.0833333333333333	0.125	0	0.291666666666667	0.333333333333333	0	0	0.166666666666667	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.8
X123	Erythropoietin Signaling Pathway	12	AKT1,AKT2,APAF1,ARNT,BAD,BCL2L1,BIRC2,BIRC3,CCND1,CLCF1,CSF2RB,FOXO3,GRB2,HBA1/HBA2,HBB,HBE1,HBG2,HIF1A,HRAS,IL1B,IL36G,IL6,IRS2,ITPR1,ITPR2,ITPR3,JAK2,KRAS,LTB,MAP2K1,MAP2K2,MAPK3,MDM2,MTOR,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,NRAS,OSM,PDPK1,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,RAC1,RAC2,RAF1,RALA,RAP2A,RAP2B,RASD1,RELA,RPS6KB1,RRAS,RRAS2,SHC1,SOS1,SOS2,STAT5A,STAT5B,TGFB1,TNF,TP53	74	0.0416666666666667	0.25	0	0.208333333333333	0.416666666666667	0	0	0.0833333333333333	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.5
X124	Estrogen Receptor Signaling	16	ADCY7,AKT1,AKT2,ARG2,ATF2,ATP5F1C,ATP5MC1,BAD,BCL2,CAV1,CCNC,CCND1,CFL2,CREB1,CREB3,CREBBP,CTBP1,CTBP2,CYC1,DDX5,EGFR,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF4E,EIF4EBP1,EP300,FBXO32,FOXO1,FOXO3,FOXO4,GNA11,GNA13,GNA15,GNAI3,GNAQ,GNB1,GNG11,GNG2,GNG5,GPS2,GRB2,GSK3A,HDAC3,HIF1A,HNRNPD,HRAS,IGF1,IGF1R,IGF2R,JAK2,KRAS,LIMK2,MAP2K1,MAP2K2,MAPK3,MCU,MDK,MED1,MED10,MED13,MED13L,MED14,MED15,MED17,MED21,MED24,MED27,MED30,MED31,MED4,MED6,MMP12,MMP13,MMP14,MMP19,MMP2,MMP3,MMP8,MMP9,MPRIP,MTOR,MYC,MYL4,MYL6,MYL9,MYLPF,NCOA1,NCOA2,NCOA3,NCOR2,NFKB1,NFKB2,NOTCH1,NR3C1,NRAS,NRF1,NRIP1,PAK1,PDIA3,PELP1,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PLCB4,PLCG2,PLCL2,POLR2B,PRKAA1,PRKAB1,PRKACB,PRKAG1,PRKAR2A,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,RAF1,RALA,RAP2A,RAP2B,RASD1,RELA,ROCK1,ROCK2,RPS6KB1,RRAS,RRAS2,SETD7,SHC1,SOS1,SOS2,SP1,SRA1,TFAM,THRAP3,TP53,TRRAP,UQCRC2,UQCRFS1,ZDHHC21	150	0.291666666666667	0.125	0	0.0833333333333333	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0	activated	activated	1	1.7
X125	Estrogen-Dependent Breast Cancer Signaling	6	AKT1,AKT2,ATF2,CCND1,CREB1,CREB3,CREBBP,EGFR,HRAS,HSD17B10,HSD17B11,HSD17B12,HSD17B4,IGF1,IGF1R,KRAS,MAPK3,NFKB1,NRAS,PIK3C3,PIK3CB,PIK3CD,PIK3R5,RAP2A,RAP2B,RASD1,RELA,RRAS,RRAS2,SP1,STAT5A,STAT5B	32	0.166666666666667	0.0416666666666667	0	0.291666666666667	0.0833333333333333	0	0	0.416666666666667	0.5	0	0	0	0.5	0	0	0	activated	activated	1	1.5
X126	Estrogen-mediated S-phase Entry	13	CCNA2,CCND1,CCNE1,CCNE2,CDC25A,CDK1,CDK2,CDK4,E2F1,E2F4,E2F5,MYC,RB1,TFDP1	14	0.333333333333333	0	0.0416666666666667	0.125	0.25	0.0833333333333333	0	0.166666666666667	0.5	0	0	0	0.5	0	0	0	activated	activated	2	2.5
X127	Ethanol Degradation IV	7	ACSL1,ACSS1,ALDH3B1,ALDH7A1,ALDH9A1,CAT,CYGB,GPX7	8	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.25	0.0833333333333333	0	0	0.416666666666667	0	0	0.5	0	0.5	0	0	0	activated	no_direction	2	2.6
X128	Extrinsic Prothrombin Activation Pathway	1	F10,F13A1,PROS1	3	0	0	0.0416666666666667	0.458333333333333	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	not_sig	no_direction	2	2.4
X129	FAK Signaling	11	ACTA1,ACTA2,AKT1,AKT2,ARHGAP26,ARHGEF6,ARHGEF7,ASAP1,CAPN1,CAPN2,CAPN7,CRK,CSK,EGFR,FYN,GIT2,GRB2,HMMR,HRAS,ITGA4,ITGA5,ITGAL,ITGAV,ITGB1,ITGB2,KRAS,MAP2K1,MAP2K2,MAPK3,NRAS,PAK1,PAK2,PDPK1,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PLCG2,PXN,RAC1,RAF1,RAP2A,RAP2B,RASD1,RRAS,RRAS2,SOS1,SOS2,TLN1,TNS1,WAS	51	0	0	0.25	0.25	0	0	0.416666666666667	0.0833333333333333	0	0	0.5	0	0	0	0.5	0	no_direction	no_direction	1	1.1
X13	Acute Myeloid Leukemia Signaling	14	AKT1,AKT2,ARAF,BAD,BRAF,CCND1,CEBPA,CSF2RA,CSF2RB,CSF3R,EIF4EBP1,FLT3LG,GRB2,HRAS,IDH1,IDH2,IDH3B,IDH3G,JUP,KITLG,KRAS,LEF1,MAP2K1,MAP2K2,MAP2K4,MAPK3,MTOR,MYC,NFKB1,NFKB2,NRAS,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PIM1,PIM2,PML,RAF1,RALA,RAP2A,RAP2B,RARA,RASD1,RELA,RPS6KB1,RRAS,RRAS2,RUNX1,SOS1,SOS2,SPI1,STAT5A,STAT5B,TCF3,TCF4,TCF7L2,Tcf7	60	0.166666666666667	0.166666666666667	0.0416666666666667	0.125	0.25	0	0.166666666666667	0.0833333333333333	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.5
X130	FAT10 Cancer Signaling Pathway	1	ACKR3,CHUK,MAD2L2,NFKB1,NFKB2,RELA,SMAD2,SMAD4,TCF7L2,TGFBR2,TNF,TNFRSF1A,TNFRSF1B,TP53	14	0	0	0	0.5	0.0833333333333333	0	0	0.416666666666667	0	0	0	0.5	0.5	0	0	0	activated	not_sig	2	2.13
X131	FAT10 Signaling Pathway	3	HTT,PSME1,PSME2,PSME3,SQSTM1,TNF,UBA1,UBA6,UBE2Z	9	0	0.0416666666666667	0	0.458333333333333	0	0	0.166666666666667	0.333333333333333	0	0.5	0	0	0	0	0.5	0	no_direction	inhibited	2	2.4
X132	FGF Signaling	3	AKT2,CREBBP,CRK,FRS2,HRAS,ITPR1,MAP3K5,MAPK13,MAPK14,MAPK3,MAPK8,MET,PIK3CB,PIK3R5,PRKCA,PTPN11,RAF1,RPS6KA5,SOS1,SOS2	20	0.0416666666666667	0	0	0.458333333333333	0.166666666666667	0	0	0.333333333333333	0.5	0	0	0	0.5	0	0	0	activated	activated	1	1.2
X133	FLT3 Signaling in Hematopoietic Progenitor Cells	15	AKT1,AKT2,ATF2,BAD,CBL,CREB1,CREB3,CREBBP,EIF4E,EIF4EBP1,FLT3LG,GRB2,HRAS,INPP5D,KRAS,MAP2K1,MAP2K2,MAPK13,MAPK14,MAPK3,MTOR,NRAS,PDPK1,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PTPN11,RAF1,RALA,RAP2A,RAP2B,RASD1,RPS6KA1,RPS6KA3,RPS6KA5,RPS6KB1,RRAS,RRAS2,SHC1,SOS1,SOS2,STAT1,STAT2,STAT4,STAT5A,STAT5B,STAT6	50	0.208333333333333	0.208333333333333	0	0.0833333333333333	0.416666666666667	0	0	0.0833333333333333	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.5
X134	Fatty Acid Activation	2	ACSL1,ACSL3,ACSL4,ACSL5,SLC27A4	5	0.0416666666666667	0.0416666666666667	0	0.416666666666667	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	not_sig	no_direction	2	2.18
X135	Fatty Acid α-oxidation	1	ALDH3B1,ALDH7A1,PTGS2	3	0	0	0.0416666666666667	0.458333333333333	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	not_sig	no_direction	2	2.6
X136	Fatty Acid β-oxidation I	4	ACAA1,ACAA2,ACADM,ACSL1,ACSL3,ACSL4,ACSL5,AUH,ECHS1,ECI1,ECI2,HADH,HADHB,HSD17B10,HSD17B4,SLC27A4	16	0.125	0.0416666666666667	0	0.333333333333333	0	0	0	0.5	0.5	0	0	0	0	0	0	0.5	not_sig	activated	2	2.18
X137	Fc Epsilon RI Signaling	7	AKT1,AKT2,BTK,FCER1G,FYN,GRB2,HRAS,INPP5D,INPP5F,INPP5K,KRAS,LAT,LCP2,LYN,MAP2K1,MAP2K2,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK8,NRAS,PDPK1,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PLA2G12A,PLCG2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,PTPN11,RAC1,RAC2,RAF1,RAP2A,RAP2B,RASD1,RRAS,RRAS2,SOS1,SOS2,SYNJ1,TNF,VAV1,VAV3	51	0.0833333333333333	0.125	0	0.291666666666667	0.166666666666667	0	0	0.333333333333333	0	0.5	0	0	0.5	0	0	0	activated	inhibited	1	1.8
X138	Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	1	AKT1,AKT2,CBL,FGR,FYN,HCK,INPP5D,LCP2,LYN,MAPK3,NCK1,PAK1,PLD3,PRKCA,PRKCB,PRKCE,PRKCH,PXN,RAC1,RPS6KB1,TLN1,VASP,VAV3	23	0	0.0416666666666667	0	0.458333333333333	0	0	0	0.5	0	0.5	0	0	0	0	0	0.5	not_sig	inhibited	1	1.2
X139	Ferroptosis Signaling Pathway	7	ABCA1,ACSL4,ANGPTL4,ARAF,ARF3,ARF4,Arf2,BAP1,BECN1,BID,BRAF,CARS1,CYBB,DPP4,EIF2A,EIF2AK3,FTH1,G3BP1,GCLC,HMGCR,HMOX1,HRAS,HSPB1,IREB2,KEAP1,KRAS,LPCAT3,MAP2K1,MAP2K2,MAPK3,NCOA4,NFS1,NRAS,PEBP1,PHKG2,PRKAA1,PRKAB1,PRKAG1,RAF1,RALA,RAP2A,RAP2B,RASD1,RB1,RBL2,RRAS,RRAS2,SAT1,SLC11A2,SLC1A5,SLC38A1,SLC3A2,SLC7A11,SP1,SREBF2,TFRC,TP53,TXNRD1,USP7,WWTR1	60	0.0833333333333333	0	0.125	0.291666666666667	0.166666666666667	0	0	0.333333333333333	0	0	0.5	0	0.5	0	0	0	activated	no_direction	1	1.3
