IngenuityCanonicalPathways,GroupCount,key,AllMolecules,pathsize,M_activated_ratio,M_inhibited_ratio,M_noZ_ratio,M_notSig_ratio,J_activated_ratio,J_inhibited_ratio,J_noZ_ratio,J_notSig_ratio,M_GlobalActivated,M_GlobalInhibited,M_GlobalNoDirection,M_GlobalNotSignificant,J_GlobalActivated,J_GlobalInhibited,J_GlobalNoDirection,J_GlobalNotSignificant,activeTissue,inactiveTissue
"Adenine and Adenosine Salvage III",1,X15,"ADA,HPRT1,PNP",3,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Adenosine Nucleotides Degradation II",4,X16,"ADA,NT5C,NT5C2,NT5C3B,NT5E,PNP,XDH",7,0.0833333333333333,0.0833333333333333,0,0.333333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Adipogenesis pathway",7,X17,"AGPAT2,AKT1,ARNTL,ATG5,ATG7,BMPR1A,BMPR2,BSCL2,CCNH,CDK5,CDK7,CEBPA,CEBPB,CEBPD,CLOCK,CTBP1,CTBP2,DDIT3,EGR2,EZH2,FBXW7,FGFR1,FOXO1,FZD5,GTF2H1,GTF2H2,GTF2H5,HAT1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC7,KAT2B,KAT6A,KAT7,KLF5,KMT2B,Kat6b,LPL,MNAT1,NOCT,NR1D2,RB1,RBBP4,RBBP7,RPS6KA1,RPS6KB1,SAP18,SAP30,SAP30L,SENP2,SIN3A,SIN3B,SIRT1,SIRT2,SMAD1,SMAD5,SOX9,STAT5B,TGFB1,TNF,TNFRSF1A,TP53,TXNIP,XBP1",66,0,0,0.291666666666667,0.208333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Adrenomedullin signaling pathway",9,X18,"ADCY7,ADM,AKT1,AKT2,ARAF,ARNT,BAD,BCL2,BRAF,C3,CALCRL,CASP3,CEBPB,CFH,CRCP,CSK,GNA11,GNA15,GNAQ,GRB2,GSK3A,HIF1A,HRAS,IL1B,IL1RN,IL36G,ITPR1,ITPR2,ITPR3,KCNN4,KRAS,MAP2K1,MAP2K2,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MAX,MMP2,NFKB1,NFKB2,NRAS,NT5C,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PLCB4,PLCG2,PLCL2,PRKACB,PRKAG1,PRKAR2A,PTK2B,RAF1,RAMP2,RAMP3,RAP2A,RAP2B,RASD1,RELA,RRAS,RRAS2,RXRB,SHC1,SOS1,SOS2,TNF,TTN",71,0.0833333333333333,0.125,0,0.291666666666667,0.333333333333333,0,0,0.166666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Agranulocyte Adhesion and Diapedesis",6,X19,"ACTA2,CCL3L3,CCL4,CCL5,CD34,CDH5,CKLF,CLDN1,CLDN4,CXCL10,CXCL12,CXCL14,CXCL16,CXCR2,Ccl6,Ccl7,Ccl8,Ccl9,Cxcl3,FN1,GNAI3,ICAM1,ICAM2,IL1B,IL1R1,IL36G,ITGA4,ITGA5,ITGB1,ITGB2,MMP12,MMP13,MMP14,MMP19,MMP2,MMP3,MMP8,MMP9,MYL4,MYL6,MYL9,PECAM1,RDX,SELL,SELPLG,TNF,TNFRSF1A,VCAM1,XCL1",49,0,0,0.0833333333333333,0.416666666666667,0,0,0.333333333333333,0.166666666666667,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Agrin Interactions at Neuromuscular Junction",7,X20,"ACTA1,ACTA2,AGRN,ARHGEF6,ARHGEF7,DAG1,DVL1,EGFR,GABPA,GABPB1,HRAS,ITGA4,KRAS,LAMB1,LAMC1,MAP2K4,MAPK3,MAPK8,NRAS,PAK1,PAK2,PXN,RAC1,RAC2,RAP2A,RAP2B,RASD1,RRAS,RRAS2,UTRN",30,0.0416666666666667,0.125,0.0416666666666667,0.291666666666667,0.166666666666667,0,0,0.333333333333333,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Airway Inflammation in Asthma",1,X21,"ELANE,MMP9,OSM,RNASE2",4,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Aldosterone Signaling in Epithelial Cells",9,X22,"AHCY,CRYAB,DNAJB11,DNAJB12,DNAJB14,DNAJB2,DNAJB4,DNAJB6,DNAJC1,DNAJC10,DNAJC11,DNAJC13,DNAJC15,DNAJC19,DNAJC2,DNAJC21,DNAJC24,DNAJC25,DNAJC3,DNAJC8,DNAJC9,HSCB,HSPA13,HSPA14,HSPA1A/HSPA1B,HSPA4L,HSPA8,HSPA9,HSPB1,HSPB11,HSPB8,HSPD1,HSPH1,ITPR1,ITPR2,ITPR3,KRAS,MAP2K1,MAP2K2,MAPK3,PDIA3,PDPK1,PI4KA,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PIKFYVE,PIP4K2C,PIP5K1A,PIP5K1C,PLCB4,PLCG2,PLCL2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,RAF1,SASS6,SGK1,SLC12A2,SOS1,SOS2,Sacs,TRAP1",71,0.125,0.0833333333333333,0.0833333333333333,0.208333333333333,0.166666666666667,0,0,0.333333333333333,0.5,0,0,0,0.5,0,0,0,activated,activated
"Allograft Rejection Signaling",2,X23,"B2M,CD28,CD86,FAS,H2-T10,H2-T22,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-F,HLA-G,IGHG1,TNF",14,0,0,0,0.5,0,0,0.166666666666667,0.333333333333333,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Altered T Cell and B Cell Signaling in Rheumatoid Arthritis",2,X24,"CD28,CD86,CHUK,FAS,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,IL1B,IL36G,MAP3K14,NFKB1,NFKB2,PRTN3,RELA,SPP1,TLR2,TNF,TNFRSF13B",19,0,0,0,0.5,0,0,0.166666666666667,0.333333333333333,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Amyloid Processing",8,X25,"AKT1,AKT2,APP,CAPN1,CAPN2,CAPN7,CDK5,CDK5R1,CSNK1D,CSNK1E,CSNK2A1,CSNK2B,MAPK13,MAPK14,MAPK3,PRKACB,PRKAG1,PRKAR2A,PRKCE,PSEN1,PSEN2",21,0.0416666666666667,0.166666666666667,0.0833333333333333,0.208333333333333,0.0833333333333333,0,0,0.416666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Androgen Signaling",5,X26,"CALR,CCND1,CCNH,CDK7,CREBBP,GNA11,GNA13,GNA15,GNAI3,GNB1,GNG10,GNG11,GNG12,GNG2,GNG5,GTF2E2,GTF2F1,GTF2H2,GTF2H5,KAT2B,KAT7,MAPK3,MNAT1,NCOA1,NCOA2,NCOA4,NFKB1,NFKB2,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2I,POLR2J,POLR2L,PRKACB,PRKAG1,PRKAR2A,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKD3,RELA,SHC1,TAF2",50,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.333333333333333,0.0833333333333333,0,0,0.416666666666667,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Angiopoietin Signaling",8,X27,"AKT1,AKT2,ANGPTL1,BAD,BIRC5,CHUK,FOXO1,GRB2,HRAS,IKBKB,KRAS,NCK1,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,NRAS,PAK1,PAK2,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PTPN11,RALA,RAP2A,RAP2B,RASA1,RASD1,RELA,RRAS,RRAS2,SOS1,STAT5A,STAT5B,TNIP1",39,0.0416666666666667,0.125,0.0416666666666667,0.291666666666667,0.25,0,0,0.25,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Antigen Presentation Pathway",5,X28,"B2M,CALR,CIITA,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DRB5,HLA-F,HLA-G,PDIA3,PSMB5,PSMB6,PSMB8,PSMB9,TAP1,TAP2,TAPBP",18,0,0,0.125,0.375,0,0,0.166666666666667,0.333333333333333,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Antioxidant Action of Vitamin C",1,X29,"CHUK,CSF2RB,GLRX,GSTO1,JAK2,MAPK13,MAPK8,NFKB1,NFKB2,PLA2G12A,PLA2G7,PLCL2,PLD3,PNPLA8,RELA,SELENOT,SLC23A2,SLC2A3,STAT5A,STAT5B,TNF,TXNRD1",22,0,0,0,0.5,0,0.0833333333333333,0,0.416666666666667,0,0,0,0.5,0,0.5,0,0,inhibited,not_sig
"Antiproliferative Role of TOB in T Cell Signaling",4,X30,"CCNA2,CCNE1,CCNE2,CD28,CD3D,CD3E,CD3G,CDC34,CDK2,CUL1,DPP7,FCER1G,RB1,SMAD2,SMAD4,TGFBR1,TGFBR2,TWSG1",18,0,0.0416666666666667,0.0416666666666667,0.416666666666667,0,0.0833333333333333,0.0833333333333333,0.333333333333333,0,0.5,0,0,0,0.5,0,0,inhibited,inhibited
"Apelin Adipocyte Signaling Pathway",4,X31,"ADCY7,GNA11,GNAI3,GPX3,GPX7,GPX8,GSTT2/GSTT2B,HIF1A,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MGST1,MGST2,NCF1,NCF2,PRKAA1,PRKAB1,PRKACB,PRKAG1,PRKAR2A",22,0.0416666666666667,0,0.0416666666666667,0.416666666666667,0.166666666666667,0,0,0.333333333333333,0.5,0,0,0,0.5,0,0,0,activated,activated
"Apelin Cardiac Fibroblast Signaling Pathway",3,X32,"AKT1,AKT2,IL6,PRKAA1,PRKAB1,PRKAG1,SERPINE1,SPHK1",8,0.125,0,0,0.375,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,not_sig,activated
"Apelin Cardiomyocyte Signaling Pathway",4,X33,"AKT1,AKT2,ARNT,ATP2A3,CAT,GNA11,GNAI3,ITPR1,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MYL4,MYL6,MYL9,MYLPF,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PLCG2,PLCL2,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKD3,SLC9A8",30,0.0416666666666667,0.0833333333333333,0,0.375,0.0833333333333333,0,0,0.416666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Apelin Endothelial Signaling Pathway",8,X34,"ADCY7,AKT1,AKT2,ARNT,GNA11,GNA13,GNAI3,HDAC4,HDAC5,HIF1A,HRAS,KRAS,MAP2K1,MAP2K2,MAPK3,MAPK8,MEF2D,MTOR,NFKB1,NFKB2,NRAS,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PLCB4,PRKAA1,PRKAB1,PRKAG1,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,RAF1,RAP2A,RAP2B,RASD1,RELA,RPS6KB1,RRAS,RRAS2,SP1,VCAM1",46,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.291666666666667,0.25,0,0,0.25,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Apelin Liver Signaling Pathway",4,X35,"COL18A1,COL1A1,COL1A2,COL3A1,COL5A3,FAS,GSK3A,MAP2K4,MAPK8",9,0.0416666666666667,0,0,0.458333333333333,0.25,0,0,0.25,0.5,0,0,0,0.5,0,0,0,activated,activated
"Apelin Muscle Signaling Pathway",3,X36,"AKT1,NRF1,PRKAA1,PRKAG1,TFAM",5,0.0416666666666667,0,0.0416666666666667,0.416666666666667,0.0833333333333333,0,0,0.416666666666667,0.5,0,0,0,0.5,0,0,0,activated,activated
"Apelin Pancreas Signaling Pathway",4,X37,"EIF2AK3,MAP2K4,MAPK8,NFKB1,NFKB2,PIK3C3,PIK3CB,PIK3R5,PRKAA1,PRKAB1,PRKACB,PRKAG1,PRKAR2A,RELA",14,0,0.0416666666666667,0,0.458333333333333,0,0.0833333333333333,0.166666666666667,0.25,0,0.5,0,0,0,0,0.5,0,no_direction,inhibited
"Apoptosis Signaling",13,X38,"AIFM1,APAF1,BAD,BAK1,BCL2,BCL2A1,BCL2L1,BCL2L11,BID,BIRC2,BIRC3,BIRC6,CAPN1,CAPN2,CAPN7,CASP3,CASP6,CASP8,CDK1,CHUK,CYCS,DIABLO,ENDOG,FAS,HRAS,HTRA2,IKBKB,KRAS,LMNA,MAP2K1,MAP2K2,MAP2K4,MAP3K14,MAP3K5,MAP4K4,MAPK3,MAPK8,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,NRAS,PARP1,PLCG2,PRKCA,PRKCE,RAF1,RALA,RAP2A,RAP2B,RASD1,RELA,ROCK1,RPS6KA1,RRAS,RRAS2,SPTAN1,TNF,TNFRSF1A,TNFRSF1B,TP53",62,0.125,0.208333333333333,0,0.166666666666667,0.166666666666667,0.25,0,0.0833333333333333,0,0.5,0,0,0,0.5,0,0,inhibited,inhibited
"April Mediated Signaling",7,X39,"CHUK,IKBKB,MAP2K4,MAP3K14,MAPK13,MAPK14,MAPK8,NFATC1,NFATC3,NFKB1,NFKB2,NFKBIE,RELA,TNFRSF13B,TRAF1,TRAF2,TRAF3,TRAF5,TRAF6",19,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.291666666666667,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Arsenate Detoxification I (Glutaredoxin)",3,X40,"GLRX2,GSTO1,PNP",3,0,0,0.125,0.375,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Aryl Hydrocarbon Receptor Signaling",11,X41,"AHR,AIP,ALDH2,ALDH3B1,ALDH7A1,ALDH9A1,APAF1,ARNT,ATM,ATR,CCNA2,CCND1,CCND3,CCNE1,CCNE2,CDK2,CDK4,CDK6,CTSD,DHFR,E2F1,EP300,FAS,GSTM3,GSTM5,GSTO1,GSTP1,GSTT2/GSTT2B,HSPB1,IL1B,IL6,MAPK3,MAPK8,MCM7,MDM2,MED1,MGST1,MGST2,MGST3,MYC,NCOA2,NCOA3,NCOA7,NCOR2,NFIA,NFIB,NFIC,NFIX,NFKB1,NFKB2,NRIP1,POLA1,RARA,RARG,RB1,RBL2,RELA,RXRB,SMARCA4,SP1,TFDP1,TGFB1,TGM2,TNF,TP53,TRIP11",66,0.291666666666667,0,0,0.208333333333333,0.333333333333333,0,0,0.166666666666667,0.5,0,0,0,0.5,0,0,0,activated,activated
"Ascorbate Recycling (Cytosolic)",1,X42,"GLRX,GSTO1",2,0,0,0,0.5,0,0,0.0833333333333333,0.416666666666667,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Aspartate Biosynthesis",1,X43,"GOT1,GOT2",2,0,0,0,0.5,0,0,0.0833333333333333,0.416666666666667,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Assembly of RNA Polymerase II Complex",8,X44,"CCNH,CDK7,DR1,GTF2E2,GTF2F1,GTF2H1,GTF2H2,MNAT1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2I,POLR2J,POLR2L,TAF1,TAF10,TAF11,TAF12,TAF13,TAF15,TAF2,TAF3,TAF4,TAF4B,TAF5,TAF5L,TAF6,TAF6L,TAF7",33,0.0833333333333333,0.125,0,0.291666666666667,0.0833333333333333,0.166666666666667,0,0.25,0,0.5,0,0,0,0.5,0,0,inhibited,inhibited
"Assembly of RNA Polymerase III Complex",1,X45,"BRF1,GTF3A,GTF3C2,POLR3D",4,0,0,0,0.5,0.0833333333333333,0,0,0.416666666666667,0,0,0,0.5,0.5,0,0,0,activated,not_sig
"Atherosclerosis Signaling",8,X46,"APOD,APOE,CCR2,CD36,CLU,COL18A1,COL1A1,COL1A2,COL3A1,COL5A3,CSF1,CXCL12,CXCR4,F3,ICAM1,IL1B,IL1RN,IL36G,IL6,ITGA4,ITGB2,LPL,LYZ,MMP13,MMP3,MMP9,MSR1,NFKB1,NFKB2,PCYOX1,PDGFA,PLA2G12A,PLA2G7,PNPLA8,RBP4,RELA,S100A8,SELPLG,TGFB1,TNF,TNFRSF12A,VCAM1",42,0,0,0.208333333333333,0.291666666666667,0,0,0.25,0.25,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Autoimmune Thyroid Disease Signaling",2,X47,"CD28,CD86,FAS,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-F,HLA-G,IGHG1",10,0,0,0,0.5,0,0,0.166666666666667,0.333333333333333,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Autophagy",1,X48,"ATG16L1,ATG5,BCL2,CTSA,CTSG,CTSO,MTOR,PIK3C3,SQSTM1,ULK1,VPS16,VPS41",12,0,0,0,0.5,0,0,0.0833333333333333,0.416666666666667,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Axonal Guidance Signaling",1,X49,"ACE,ADAM15,ADAM19,ADAMTS1,ADAMTS2,ADAMTS4,ADAMTS5,AKT2,ARHGEF7,BAIAP2,CRK,GNA11,GNA15,GNAI3,GNAQ,GNG10,GNG11,GNG12,GNG2,HRAS,IGF1,ITGA5,ITGAV,ITSN1,LIMK2,MAPK3,MET,MMP12,MMP13,MMP2,MMP3,MMP9,MYL9,MYLPF,NRP1,PAK1,PDGFA,PIK3CB,PLCL2,PLXNC1,PPP3CB,PRKAG1,PRKCA,PRKCE,PTPN11,RAF1,RAP2A,RASA1,RND1,ROCK1,RRAS,SDC2,SEMA3C,SEMA4B,SRGAP2,Wasl",56,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
